Total Number of Medical Graduates,Passing Years,Country of Medical Graduates
2662.0,2010,Australia
3011.0,2011,Australia
3179.0,2012,Australia
3573.0,2013,Australia
3595.0,2014,Australia
3751.0,2015,Australia
3858.0,2016,Australia
3800.0,2017,Australia
3958.0,2018,Australia
4022.0,2019,Australia
3839.0,2020,Australia
3945.0,2021,Australia
1726.0,2010,Austria
1466.0,2011,Austria
1413.0,2012,Austria
1170.0,2013,Austria
1259.0,2014,Austria
1255.0,2015,Austria
1218.0,2016,Austria
1248.0,2017,Austria
1346.0,2018,Austria
1242.0,2019,Austria
1288.0,2020,Austria
1455.0,2021,Austria
980.0,2010,Belgium
1125.0,2011,Belgium
1180.0,2012,Belgium
1176.0,2013,Belgium
1289.0,2014,Belgium
1359.0,2015,Belgium
1614.0,2016,Belgium
1684.0,2017,Belgium
3282.0,2018,Belgium
2020.0,2019,Belgium
1917.0,2020,Belgium
1898.0,2021,Belgium
1833.0,2022,Belgium
2447.0,2010,Canada
2526.0,2011,Canada
2643.0,2012,Canada
2658.0,2013,Canada
2795.0,2014,Canada
2813.0,2015,Canada
2847.0,2016,Canada
2811.0,2017,Canada
2863.0,2018,Canada
2856.0,2019,Canada
2876.0,2020,Canada
2861.0,2021,Canada
1458.0,2010,Czechia
1460.0,2011,Czechia
1591.0,2012,Czechia
1338.0,2013,Czechia
1473.0,2014,Czechia
1430.0,2015,Czechia
1596.0,2016,Czechia
1815.0,2017,Czechia
1700.0,2018,Czechia
1718.0,2019,Czechia
1771.0,2020,Czechia
1790.0,2021,Czechia
912.0,2010,Denmark
949.0,2011,Denmark
865.0,2012,Denmark
848.0,2013,Denmark
816.0,2014,Denmark
969.0,2015,Denmark
1230.0,2016,Denmark
1281.0,2017,Denmark
1335.0,2018,Denmark
1234.0,2019,Denmark
1284.0,2020,Denmark
656.0,2010,Finland
583.0,2011,Finland
604.0,2012,Finland
564.0,2013,Finland
636.0,2014,Finland
625.0,2015,Finland
661.0,2016,Finland
574.0,2017,Finland
645.0,2018,Finland
657.0,2019,Finland
674.0,2020,Finland
702.0,2021,Finland
3740.0,2010,France
4384.0,2011,France
4717.0,2012,France
5040.0,2013,France
5365.0,2014,France
6025.0,2015,France
6314.0,2016,France
7252.0,2017,France
6387.0,2018,France
6708.0,2019,France
8069.0,2020,France
9894.0,2010,Germany
9572.0,2011,Germany
9587.0,2012,Germany
9801.0,2013,Germany
9599.0,2014,Germany
9215.0,2015,Germany
9647.0,2016,Germany
9928.0,2017,Germany
9563.0,2018,Germany
10234.0,2019,Germany
10007.0,2020,Germany
10320.0,2021,Germany
1038.0,2010,Greece
1096.0,2011,Greece
1017.0,2012,Greece
1022.0,2013,Greece
970.0,2014,Greece
1162.0,2015,Greece
1101.0,2016,Greece
1334.0,2017,Greece
1344.0,2018,Greece
1449.0,2019,Greece
1465.0,2020,Greece
1040.0,2010,Hungary
1148.0,2011,Hungary
1374.0,2012,Hungary
1405.0,2013,Hungary
1347.0,2014,Hungary
1319.0,2015,Hungary
1388.0,2016,Hungary
1410.0,2017,Hungary
1560.0,2018,Hungary
1540.0,2019,Hungary
1532.0,2020,Hungary
1574.0,2021,Hungary
44.0,2010,Iceland
44.0,2011,Iceland
49.0,2012,Iceland
40.0,2013,Iceland
53.0,2014,Iceland
42.0,2015,Iceland
53.0,2016,Iceland
50.0,2017,Iceland
48.0,2018,Iceland
41.0,2019,Iceland
785.0,2010,Ireland
738.0,2011,Ireland
781.0,2012,Ireland
931.0,2013,Ireland
1009.0,2014,Ireland
1107.0,2015,Ireland
1162.0,2016,Ireland
1196.0,2017,Ireland
1254.0,2018,Ireland
1225.0,2019,Ireland
1268.0,2020,Ireland
1310.0,2021,Ireland
6732.0,2010,Italy
6699.0,2011,Italy
6635.0,2012,Italy
6706.0,2013,Italy
6981.0,2014,Italy
7500.0,2015,Italy
8032.0,2016,Italy
9120.0,2017,Italy
10129.0,2018,Italy
10511.0,2019,Italy
11213.0,2020,Italy
10788.0,2021,Italy
7619.0,2010,Japan
7631.0,2011,Japan
7501.0,2012,Japan
7639.0,2013,Japan
7652.0,2014,Japan
8118.0,2015,Japan
8529.0,2016,Japan
8673.0,2017,Japan
8751.0,2018,Japan
9003.0,2019,Japan
8757.0,2020,Japan
9013.0,2021,Japan
9095.0,2022,Japan
4027.0,2010,Korea
3928.0,2011,Korea
3993.0,2012,Korea
3905.0,2013,Korea
3955.0,2014,Korea
3861.0,2015,Korea
3886.0,2016,Korea
3898.0,2017,Korea
3860.0,2018,Korea
3827.0,2019,Korea
3742.0,2020,Korea
3757.0,2021,Korea
,2010,Luxembourg
,2011,Luxembourg
,2012,Luxembourg
,2013,Luxembourg
,2014,Luxembourg
,2015,Luxembourg
,2016,Luxembourg
,2017,Luxembourg
,2018,Luxembourg
,2019,Luxembourg
,2020,Luxembourg
,2021,Luxembourg
,2022,Luxembourg
13033.0,2010,Mexico
13647.0,2011,Mexico
13998.0,2012,Mexico
12077.0,2013,Mexico
12905.0,2014,Mexico
13334.0,2015,Mexico
15328.0,2016,Mexico
16586.0,2017,Mexico
15346.0,2018,Mexico
17408.0,2019,Mexico
14838.0,2020,Mexico
19327.0,2021,Mexico
2276.0,2010,Netherlands
2460.0,2011,Netherlands
2470.0,2012,Netherlands
2420.0,2013,Netherlands
2450.0,2014,Netherlands
2480.0,2015,Netherlands
2610.0,2016,Netherlands
2730.0,2017,Netherlands
2720.0,2018,Netherlands
2620.0,2019,Netherlands
2500.0,2020,Netherlands
2710.0,2021,Netherlands
317.0,2010,New Zealand
351.0,2011,New Zealand
348.0,2012,New Zealand
379.0,2013,New Zealand
392.0,2014,New Zealand
399.0,2015,New Zealand
444.0,2016,New Zealand
437.0,2017,New Zealand
474.0,2018,New Zealand
493.0,2019,New Zealand
528.0,2020,New Zealand
543.0,2021,New Zealand
551.0,2010,Norway
568.0,2011,Norway
619.0,2012,Norway
578.0,2013,Norway
567.0,2014,Norway
580.0,2015,Norway
580.0,2016,Norway
586.0,2017,Norway
542.0,2018,Norway
606.0,2019,Norway
587.0,2020,Norway
555.0,2021,Norway
3081.0,2010,Poland
3349.0,2011,Poland
3549.0,2012,Poland
3757.0,2013,Poland
3689.0,2014,Poland
3888.0,2015,Poland
3983.0,2016,Poland
4157.0,2017,Poland
4006.0,2018,Poland
4546.0,2019,Poland
4638.0,2020,Poland
5067.0,2021,Poland
1262.0,2010,Portugal
1287.0,2011,Portugal
1394.0,2012,Portugal
1426.0,2013,Portugal
1554.0,2014,Portugal
1642.0,2015,Portugal
1698.0,2016,Portugal
1657.0,2017,Portugal
1760.0,2018,Portugal
1629.0,2019,Portugal
1619.0,2020,Portugal
1682.0,2021,Portugal
635.0,2010,Slovak Republic
684.0,2011,Slovak Republic
735.0,2012,Slovak Republic
863.0,2013,Slovak Republic
732.0,2014,Slovak Republic
848.0,2015,Slovak Republic
871.0,2016,Slovak Republic
918.0,2017,Slovak Republic
962.0,2018,Slovak Republic
984.0,2019,Slovak Republic
1081.0,2020,Slovak Republic
1044.0,2021,Slovak Republic
4299.0,2010,Spain
4199.0,2011,Spain
4457.0,2012,Spain
4770.0,2013,Spain
5571.0,2014,Spain
6053.0,2015,Spain
6226.0,2016,Spain
6749.0,2017,Spain
6664.0,2018,Spain
6574.0,2019,Spain
6600.0,2020,Spain
6718.0,2021,Spain
969.0,2010,Sweden
1011.0,2011,Sweden
1131.0,2012,Sweden
987.0,2013,Sweden
1091.0,2014,Sweden
1216.0,2015,Sweden
1189.0,2016,Sweden
1281.0,2017,Sweden
1334.0,2018,Sweden
1385.0,2019,Sweden
1405.0,2020,Sweden
1474.0,2021,Sweden
813.0,2010,Switzerland
744.0,2011,Switzerland
782.0,2012,Switzerland
786.0,2013,Switzerland
863.0,2014,Switzerland
894.0,2015,Switzerland
885.0,2016,Switzerland
946.0,2017,Switzerland
995.0,2018,Switzerland
1017.0,2019,Switzerland
1115.0,2020,Switzerland
1089.0,2021,Switzerland
5138.0,2010,Türkiye
4981.0,2011,Türkiye
4949.0,2012,Türkiye
5172.0,2013,Türkiye
5175.0,2014,Türkiye
6896.0,2015,Türkiye
7651.0,2016,Türkiye
8530.0,2017,Türkiye
9395.0,2018,Türkiye
10854.0,2019,Türkiye
11909.0,2020,Türkiye
13239.0,2021,Türkiye
8490.0,2010,United Kingdom
8435.0,2011,United Kingdom
8840.0,2012,United Kingdom
8450.0,2013,United Kingdom
8690.0,2014,United Kingdom
8860.0,2015,United Kingdom
8490.0,2016,United Kingdom
8590.0,2017,United Kingdom
8570.0,2018,United Kingdom
8730.0,2019,United Kingdom
8750.0,2020,United Kingdom
8835.0,2021,United Kingdom
9140.0,2022,United Kingdom
20469.0,2010,United States
21522.0,2011,United States
21799.0,2012,United States
22963.0,2013,United States
23069.0,2014,United States
24026.0,2015,United States
24415.0,2016,United States
25277.0,2017,United States
25978.0,2018,United States
26640.0,2019,United States
