"Variable","Country","Year","Value"
"Female physicians aged 75 years old and over","Austria",2014,87
"Female physicians aged 75 years old and over","Austria",2015,73
"Female physicians aged 75 years old and over","Austria",2016,58
"Female physicians aged 75 years old and over","Austria",2017,62
"Female physicians aged 75 years old and over","Austria",2018,62
"Female physicians aged 75 years old and over","Austria",2019,63
"Female physicians aged 75 years old and over","Austria",2020,67
"Female physicians aged 75 years old and over","Austria",2021,71
"Female physicians aged 75 years old and over","Austria",2022,105
"Female physicians aged 75 years old and over","Hungary",2014,473
"Female physicians aged 75 years old and over","Hungary",2015,346
"Female physicians aged 75 years old and over","Hungary",2016,406
"Female physicians aged 75 years old and over","Hungary",2017,509
"Female physicians aged 75 years old and over","Hungary",2018,618
"Female physicians aged 75 years old and over","Hungary",2019,767
"Female physicians aged 75 years old and over","Hungary",2020,533
"Female physicians aged 75 years old and over","Hungary",2021,659
"Female physicians aged 75 years old and over","Korea",2012,143
"Female physicians aged 75 years old and over","Korea",2013,139
"Female physicians aged 75 years old and over","Korea",2014,142
"Female physicians aged 75 years old and over","Korea",2015,139
"Female physicians aged 75 years old and over","Korea",2016,152
"Female physicians aged 75 years old and over","Korea",2017,159
"Female physicians aged 75 years old and over","Korea",2018,153
"Female physicians aged 75 years old and over","Korea",2019,156
"Female physicians aged 75 years old and over","Korea",2020,147
"Female physicians aged 75 years old and over","Korea",2021,153
"Female physicians aged 75 years old and over","Israel",2010,1204
"Female physicians aged 75 years old and over","Israel",2011,1262
"Female physicians aged 75 years old and over","Israel",2012,1342
"Female physicians aged 75 years old and over","Israel",2013,1440
"Female physicians aged 75 years old and over","Israel",2014,1517
"Female physicians aged 75 years old and over","Israel",2015,1546
"Female physicians aged 75 years old and over","Israel",2016,1589
"Female physicians aged 75 years old and over","Israel",2017,1612
"Female physicians aged 75 years old and over","Israel",2018,1577
"Female physicians aged 75 years old and over","Israel",2019,1577
"Female physicians aged 75 years old and over","Israel",2020,1616
"Female physicians aged 75 years old and over","Israel",2021,1706
"Female physicians aged 75 years old and over","Israel",2022,1870
"Female physicians aged 75 years old and over","Latvia",2010,87
"Female physicians aged 75 years old and over","Latvia",2011,111
"Female physicians aged 75 years old and over","Latvia",2012,142
"Female physicians aged 75 years old and over","Latvia",2013,167
"Female physicians aged 75 years old and over","Latvia",2014,203
"Female physicians aged 75 years old and over","Latvia",2015,217
"Female physicians aged 75 years old and over","Latvia",2016,229
"Female physicians aged 75 years old and over","Latvia",2017,216
"Female physicians aged 75 years old and over","Latvia",2018,202
"Female physicians aged 75 years old and over","Latvia",2019,190
"Female physicians aged 75 years old and over","Latvia",2020,188
"Female physicians aged 75 years old and over","Latvia",2021,166
"Female physicians aged 75 years old and over","Belgium",2010,53
"Female physicians aged 75 years old and over","Belgium",2011,52
"Female physicians aged 75 years old and over","Belgium",2012,65
