"Variable","Country","Year","Value"
"Female physicians under 35 years old","Australia",2012,9118
"Female physicians under 35 years old","Australia",2013,9720
"Female physicians under 35 years old","Australia",2014,10313
"Female physicians under 35 years old","Australia",2015,10600
"Female physicians under 35 years old","Australia",2016,11164
"Female physicians under 35 years old","Australia",2017,11747
"Female physicians under 35 years old","Australia",2018,12167
"Female physicians under 35 years old","Australia",2019,12581
"Female physicians under 35 years old","Australia",2020,12986
"Female physicians under 35 years old","Australia",2021,13165
"Female physicians under 35 years old","Austria",2010,4553
"Female physicians under 35 years old","Austria",2011,4754
"Female physicians under 35 years old","Austria",2012,4558
"Female physicians under 35 years old","Austria",2013,4395
"Female physicians under 35 years old","Austria",2014,4038
"Female physicians under 35 years old","Austria",2015,4246
"Female physicians under 35 years old","Austria",2016,4837
"Female physicians under 35 years old","Austria",2017,4788
"Female physicians under 35 years old","Austria",2018,4689
"Female physicians under 35 years old","Austria",2019,4848
"Female physicians under 35 years old","Austria",2020,4915
"Female physicians under 35 years old","Austria",2021,5065
"Female physicians under 35 years old","Austria",2022,5025
"Female physicians under 35 years old","Belgium",2010,1522
"Female physicians under 35 years old","Belgium",2011,1535
"Female physicians under 35 years old","Belgium",2012,1521
"Female physicians under 35 years old","Belgium",2013,1652
"Female physicians under 35 years old","Belgium",2014,1797
"Female physicians under 35 years old","Belgium",2015,2035
"Female physicians under 35 years old","Belgium",2016,2257
"Female physicians under 35 years old","Belgium",2017,2478
"Female physicians under 35 years old","Belgium",2018,2742
"Female physicians under 35 years old","Belgium",2019,2845
"Female physicians under 35 years old","Belgium",2020,2998
"Female physicians under 35 years old","Belgium",2021,3090
"Female physicians under 35 years old","Canada",2010,9477
"Female physicians under 35 years old","Canada",2011,10004
"Female physicians under 35 years old","Canada",2012,10868
"Female physicians under 35 years old","Canada",2013,11710
"Female physicians under 35 years old","Canada",2014,12180
"Female physicians under 35 years old","Canada",2015,12734
"Female physicians under 35 years old","Canada",2016,13140
"Female physicians under 35 years old","Canada",2017,12999
"Female physicians under 35 years old","Canada",2018,14178
"Female physicians under 35 years old","Canada",2019,14238
"Female physicians under 35 years old","Canada",2020,14340
"Female physicians under 35 years old","Canada",2021,14473
"Female physicians under 35 years old","Canada",2022,14949
"Female physicians under 35 years old","Czechia",2010,4148
