"Variable","Country","Year","Value"
"Male physicians under 35 years old","Australia",2012,8519
"Male physicians under 35 years old","Australia",2013,8773
"Male physicians under 35 years old","Australia",2014,8993
"Male physicians under 35 years old","Australia",2015,9203
"Male physicians under 35 years old","Australia",2016,9828
"Male physicians under 35 years old","Australia",2017,10559
"Male physicians under 35 years old","Australia",2018,11240
"Male physicians under 35 years old","Australia",2019,11617
"Male physicians under 35 years old","Australia",2020,12179
"Male physicians under 35 years old","Australia",2021,12395
"Male physicians under 35 years old","Austria",2010,2775
"Male physicians under 35 years old","Austria",2011,2914
"Male physicians under 35 years old","Austria",2012,2850
"Male physicians under 35 years old","Austria",2013,2833
"Male physicians under 35 years old","Austria",2014,2669
"Male physicians under 35 years old","Austria",2015,3030
"Male physicians under 35 years old","Austria",2016,3609
"Male physicians under 35 years old","Austria",2017,3815
"Male physicians under 35 years old","Austria",2018,3974
"Male physicians under 35 years old","Austria",2019,4190
"Male physicians under 35 years old","Austria",2020,4251
"Male physicians under 35 years old","Austria",2021,4355
"Male physicians under 35 years old","Austria",2022,4365
"Male physicians under 35 years old","Belgium",2010,894
"Male physicians under 35 years old","Belgium",2011,885
"Male physicians under 35 years old","Belgium",2012,835
"Male physicians under 35 years old","Belgium",2013,805
"Male physicians under 35 years old","Belgium",2014,818
"Male physicians under 35 years old","Belgium",2015,891
"Male physicians under 35 years old","Belgium",2016,1018
"Male physicians under 35 years old","Belgium",2017,1108
"Male physicians under 35 years old","Belgium",2018,1369
"Male physicians under 35 years old","Belgium",2019,1485
"Male physicians under 35 years old","Belgium",2020,1591
"Male physicians under 35 years old","Belgium",2021,1740
"Male physicians under 35 years old","Canada",2010,7655
"Male physicians under 35 years old","Canada",2011,7942
"Male physicians under 35 years old","Canada",2012,8569
"Male physicians under 35 years old","Canada",2013,9095
"Male physicians under 35 years old","Canada",2014,9616
"Male physicians under 35 years old","Canada",2015,10317
"Male physicians under 35 years old","Canada",2016,10794
"Male physicians under 35 years old","Canada",2017,10708
"Male physicians under 35 years old","Canada",2018,11856
"Male physicians under 35 years old","Canada",2019,12074
"Male physicians under 35 years old","Canada",2020,12069
"Male physicians under 35 years old","Canada",2021,12193
"Male physicians under 35 years old","Canada",2022,12805
"Male physicians under 35 years old","Czechia",2010,3044
"Male physicians under 35 years old","Czechia",2011,2972
"Male physicians under 35 years old","Czechia",2012,2977
"Male physicians under 35 years old","Czechia",2013,2869
"Male physicians under 35 years old","Czechia",2019,3550
"Male physicians under 35 years old","Czechia",2020,3552
"Male physicians under 35 years old","Czechia",2021,3566.52
"Male physicians under 35 years old","Denmark",2010,1545
"Male physicians under 35 years old","Denmark",2011,1537
"Male physicians under 35 years old","Denmark",2012,1537
"Male physicians under 35 years old","Denmark",2013,1472
"Male physicians under 35 years old","Denmark",2014,1477
"Male physicians under 35 years old","Denmark",2015,1529
"Male physicians under 35 years old","Denmark",2016,1658
"Male physicians under 35 years old","Denmark",2017,1865
"Male physicians under 35 years old","Denmark",2018,2056
"Male physicians under 35 years old","Denmark",2019,2113
"Male physicians under 35 years old","Denmark",2020,2318
"Male physicians under 35 years old","Finland",2010,1457
"Male physicians under 35 years old","Finland",2011,1584
"Male physicians under 35 years old","Finland",2012,1537
"Male physicians under 35 years old","Finland",2013,1635
"Male physicians under 35 years old","Finland",2014,1719
"Male physicians under 35 years old","Finland",2015,1806
"Male physicians under 35 years old","Finland",2016,1895
"Male physicians under 35 years old","Finland",2017,1999
"Male physicians under 35 years old","Finland",2018,2024
